children,days_employed,dob_years,education,education_id,family_status,family_status_id,gender,income_type,debt,total_income,purpose
1,-2802.226671,28,HIGHER,0,married,0,M,civil servant,0,2594.52,commercial real estate purchase
0,338113.5299,62,secondary,1,married,0,F,retiree,0,549.12,cars
1,,32,higher,0,married,0,M,civil servant,0,,commercial real estate transactions
0,-1631.939403,40,secondary,1,civil marriage,1,M,employee,0,1224.34,education
1,-5110.543709,45,secondary,1,married,0,F,employee,0,1014.28,house buying for the family
1,-2953.151948,38,secondary,1,married,0,M,employee,1,1024.19,real estate transactions
1,-2252.192722,44,higher,0,married,0,M,employee,0,1862.4,used car purchase
0,-726.9437706,43,higher,0,single,4,F,employee,0,1760.55,own car
0,359722.9451,61,higher,0,married,0,M,retiree,0,2189.1,motor vehicle deal
0,-3278.296751,27,secondary,1,single,4,M,companion,0,3171.02,cars
0,-127.3349424,25,secondary,1,single,4,F,companion,0,1034.26,motor vehicle deal
0,-204.6731655,33,Secondary,1,married,0,F,employee,0,1385.42,specialized education
2,,50,higher,0,married,0,F,employee,0,,housing
0,,52,secondary,1,married,0,M,employee,0,,housing
0,-7125.215028,53,secondary,1,married,0,F,civil servant,0,3198.86,property transactions
0,-275.9938475,30,secondary,1,married,0,M,employee,0,676.54,higher education
0,383933.5497,64,secondary,1,civil marriage,1,M,retiree,0,3037.92,wedding
0,337659.535,53,secondary,1,married,0,F,retiree,0,929.55,Buying a house to rent
0,373129.7897,63,higher,0,civil marriage,1,F,retiree,0,2585.9,for weddings
0,-72.6257852,42,secondary,1,civil marriage,1,F,companion,0,618.3,dealing with a used car
2,,35,higher,0,married,0,F,employee,0,,real estate transaction
2,-5010.997436,39,secondary,1,married,0,F,employee,0,1948.59,real estate purchase
1,-1669.279681,40,higher,0,civil marriage,1,F,employee,0,2392.47,money for the wedding
1,-1446.622542,32,secondary,1,married,0,M,employee,1,4139.24,motor vehicle deal
1,,34,higher,0,civil marriage,1,F,companion,0,,for weddings
0,-541.8322412,51,higher,0,married,0,F,employee,0,1177.35,car
0,,44,SECONDARY,1,married,0,F,employee,0,,purchase of real estate
0,,47,higher,0,married,0,F,employee,0,,specialized education
0,364906.2057,54,higher,0,married,0,F,retiree,0,2496.34,Buying a house to rent
0,346541.6189,0,Secondary,1,married,0,F,retiree,0,891.14,car
0,-605.026441,49,SECONDARY,1,widower/widow,2,F,employee,1,2204.81,real estate transactions
0,391558.9618,65,secondary,1,married,0,F,retiree,0,1974.63,to buy your own car
0,-1377.447235,51,secondary,1,civil marriage,1,F,companion,0,1583.83,used car purchase
1,-888.2833471,39,SECONDARY,1,single,4,F,employee,0,1777.89,real estate construction
0,366323.6494,59,secondary,1,single,4,F,retiree,0,2044.77,Buying a house to rent
0,-2098.626296,62,SECONDARY,1,widower/widow,2,F,employee,0,961.05,private real estate development
1,-300.6425933,29,secondary,1,civil marriage,1,F,employee,0,2148.4,education
0,-1493.449117,24,higher,0,civil marriage,1,F,companion,0,2537.36,private real estate development
2,-753.4670421,33,higher,0,civil marriage,1,F,employee,0,2250.65,dealing with a used car
0,-2147.472608,59,secondary,1,married,0,F,employee,0,1345.55,education
0,-413.9826021,41,secondary,1,married,0,M,civil servant,0,1481.9,house purchase
0,-12930.54168,61,secondary,1,single,4,F,companion,0,2173.71,real estate
1,-1841.358094,28,higher,0,married,0,M,employee,0,3511.68,real estate
0,-6083.99473,52,secondary,1,married,0,F,civil servant,0,1508.19,education
0,-1599.879161,26,higher,0,married,0,F,employee,1,1793.4,property transactions
1,-2523.847898,38,higher,0,married,0,F,civil servant,0,1223.1,commercial real estate transactions
1,-540.0384252,50,secondary,1,married,0,M,employee,0,1042.08,purchase of real estate
0,-3817.113295,41,secondary,1,divorced,3,F,employee,0,2237.19,car purchase
2,-2774.655137,33,secondary,1,civil marriage,1,M,companion,0,1419.65,for weddings
0,382189.1291,60,secondary,1,single,4,F,retiree,0,394.18,commercial real estate purchase
0,,46,secondary,1,married,0,F,employee,0,,higher education
0,,29,higher,0,married,0,F,companion,0,,car
0,-171.1624207,55,HIGHER,0,married,0,F,companion,0,1295.35,cars
2,-5718.708901,39,Secondary,1,married,0,M,employee,0,1048.66,Buying a house to rent
0,-1080.514782,38,secondary,1,married,0,F,employee,1,2188.08,commercial real estate transactions
0,-191.1467458,64,higher,0,civil marriage,1,F,companion,0,2330.11,wedding
1,-2471.548552,49,secondary,1,married,0,M,companion,0,4243.97,private real estate development
0,-5229.552069,43,HIGHER,0,single,4,F,employee,0,2540.99,residential real estate construction
0,379035.9206,67,secondary,1,divorced,3,F,retiree,0,1404.15,motor vehicle deal
0,361010.3213,61,secondary,1,civil marriage,1,M,retiree,0,1295.56,car
0,-897.3228055,42,secondary,1,married,0,F,companion,0,1198.07,property transactions
0,-639.5647076,58,secondary,1,married,0,M,employee,0,920.47,getting additional education
1,-1306.428456,45,secondary,1,married,0,M,employee,0,3077.85,car
0,344507.3928,64,secondary,1,married,0,F,retiree,0,988.1,education
1,-4171.107677,46,INCOMPLETE HIGHER,2,divorced,3,F,employee,0,2075.2,purchase of real estate
0,,27,secondary,1,married,0,M,companion,0,,housing
0,357880.1594,60,elementary,3,married,0,M,retiree,0,1414.05,property transactions
1,-1910.037592,28,higher,0,civil marriage,1,M,employee,0,3367.8,money for the wedding
0,-2572.053173,43,secondary,1,married,0,F,civil servant,0,1497.85,house purchase
0,-1765.557387,29,incomplete higher,2,married,0,M,companion,0,2461.65,house renovation
0,-3017.782065,24,secondary,1,civil marriage,1,F,employee,0,1276.39,commercial real estate purchase
0,,39,secondary,1,civil marriage,1,M,employee,0,,wedding
0,347947.8355,54,secondary,1,married,0,F,retiree,0,1353.51,dealing with a used car
0,-1893.299829,48,secondary,1,widower/widow,2,F,employee,0,1888.37,private real estate development
1,-2105.382664,45,secondary,1,civil marriage,1,F,employee,0,3553.1,own car
0,,62,secondary,1,married,0,M,retiree,0,,real estate construction
0,-1302.026042,46,secondary,1,married,0,F,employee,0,1233.87,house purchase
0,-5772.479896,47,secondary,1,married,0,F,civil servant,1,931.69,real estate transactions
0,-5050.29284,37,secondary,1,married,0,F,employee,0,1814.49,to buy your own car
0,-2664.273168,0,secondary,1,divorced,3,F,employee,0,877.21,real estate transaction
0,393711.5199,71,secondary,1,civil marriage,1,F,retiree,0,2176.1,money for the wedding
0,-896.4623714,37,higher,0,civil marriage,1,F,companion,0,5788.62,money for the wedding
1,-3597.776388,39,secondary,1,married,0,F,companion,0,511.14,house purchase
1,-132.748536,20,secondary,1,married,0,M,companion,1,1684.38,housing
1,-1803.930605,41,higher,0,widower/widow,2,F,employee,0,1788.92,commercial real estate transactions
0,-1208.596179,40,secondary,1,married,0,F,companion,0,884.85,further education
0,362366.8572,65,Secondary,1,married,0,M,retiree,0,3266.14,getting additional education
0,348414.028,38,secondary,1,married,0,F,retiree,1,1419.51,motor vehicle deal
0,-11001.58909,56,secondary,1,married,0,F,employee,0,1006.84,education
0,371052.6968,59,secondary,1,single,4,F,retiree,0,1869.29,to buy your own car
0,-2063.223473,45,secondary,1,civil marriage,1,M,employee,0,2479.83,Buying a house to rent
1,-1147.591637,39,higher,0,married,0,F,employee,0,1088.84,car purchase
0,-3755.843042,62,secondary,1,married,0,M,employee,0,832.22,getting additional education
0,-7473.902957,50,secondary,1,married,0,M,employee,0,987.19,house renovation
2,-2357.523214,27,higher,0,married,0,F,employee,1,4619.84,to buy your own car
2,-1268.870686,32,higher,0,married,0,M,civil servant,0,2853.62,house purchase
0,-450.0613424,38,Secondary,1,civil marriage,1,M,employee,0,1800.92,real estate transaction
0,-7219.276087,56,secondary,1,civil marriage,1,F,civil servant,0,2758.99,for weddings
0,361970.2205,67,secondary,1,widower/widow,2,F,retiree,0,1737.99,house purchase
0,372110.893,58,secondary,1,civil marriage,1,F,retiree,0,2098.27,car purchase
0,-182.2267233,28,higher,0,single,4,M,employee,0,1521.52,housing
0,-9566.241471,60,secondary,1,civil marriage,1,F,companion,0,2814.97,for weddings
0,-4652.167869,49,secondary,1,married,0,F,employee,0,2287.25,real estate construction
0,-9099.945305,49,secondary,1,married,0,M,companion,0,5205.77,commercial real estate purchase
0,,55,higher,0,widower/widow,2,F,companion,0,,own car
2,-1734.741012,38,secondary,1,married,0,F,employee,0,1765.13,real estate construction
0,364178.2549,60,secondary,1,married,0,F,retiree,0,1307.76,pursue higher education
2,-2109.314691,48,secondary,1,married,0,M,civil servant,0,2163.43,dealing with a used car
0,395728.3614,59,secondary,1,widower/widow,2,F,retiree,0,1090.86,car purchase
0,-1177.055383,43,secondary,1,single,4,F,employee,0,2222.38,house purchase
0,-60.63732756,37,secondary,1,civil marriage,1,F,employee,0,2653.22,money for the wedding
0,,26,secondary,1,civil marriage,1,F,companion,1,,house buying for the family
1,-8164.333209,49,secondary,1,civil marriage,1,F,employee,0,1017.75,wedding
1,-166.265037,35,higher,0,civil marriage,1,M,companion,1,3402.41,getting additional education
0,369682.2227,57,higher,0,married,0,M,retiree,0,1766.72,Buying a house to rent
0,-5026.22946,32,secondary,1,civil marriage,1,M,employee,1,2011.32,getting additional education
0,-225.1236895,34,secondary,1,divorced,3,F,employee,0,2520.63,commercial real estate transactions
0,-876.8431102,46,higher,0,civil marriage,1,F,employee,0,3250.47,higher education
0,-99.19594695,48,secondary,1,married,0,M,employee,0,2169.31,house purchase
1,,30,secondary,1,single,4,F,employee,0,,own car
0,-335.5229563,26,secondary,1,civil marriage,1,M,companion,0,2011.14,for weddings
0,336562.0164,60,SECONDARY,1,married,0,F,retiree,0,2174.35,higher education
0,-2573.13678,47,secondary,1,married,0,M,employee,0,2730.53,own car
0,386330.8511,60,higher,0,divorced,3,F,retiree,0,1214.9,used car purchase
0,-98.31216168,24,secondary,1,civil marriage,1,M,companion,0,1698.26,education
0,-117.1278865,51,secondary,1,married,0,F,employee,0,3197.98,further education
0,-1589.781401,37,higher,0,married,0,F,companion,0,2009.43,house purchase
0,-12136.13138,59,higher,0,married,0,F,employee,0,1760.62,real estate purchase
0,-1403.08083,52,secondary,1,single,4,F,companion,0,1739.62,to buy your own car
1,-223.5470177,23,Secondary,1,widower/widow,2,F,employee,0,731.87,dealing with a used car
0,-5532.372185,41,secondary,1,civil marriage,1,F,employee,0,2514.08,real estate construction
0,-6542.46079,39,secondary,1,married,0,F,companion,0,1087.46,purchase of real estate
1,-1575.323578,38,secondary,1,married,0,F,employee,1,1137.01,purchase of real estate
0,-2829.665755,56,SECONDARY,1,married,0,M,employee,0,2047.18,private real estate development
0,334637.4645,61,secondary,1,married,0,F,retiree,0,2266.35,residential real estate construction
1,,31,higher,0,married,0,F,employee,0,,used car purchase
0,363924.8817,54,Secondary,1,married,0,F,retiree,0,3339.66,education
0,-1352.317907,37,secondary,1,single,4,F,employee,0,1409.2,house purchase
0,-749.1756773,22,secondary,1,civil marriage,1,M,companion,0,2031.15,specialized education
2,-271.5705315,38,higher,0,married,0,F,employee,0,2439.17,commercial real estate transactions
2,342167.2121,55,elementary,3,widower/widow,2,F,retiree,0,2007.94,residential real estate construction
0,-577.2734343,41,elementary,3,civil marriage,1,F,employee,0,458.11,dealing with a used car
0,-5863.25903,48,higher,0,single,4,M,civil servant,0,2996.22,car purchase
1,-703.2435102,38,higher,0,civil marriage,1,M,employee,1,2892.37,car purchase
2,-1321.079223,41,incomplete higher,2,married,0,F,employee,0,3931.84,house buying for the family
0,-79.88034968,42,higher,0,single,4,F,companion,0,3255.82,real estate transactions
0,-356.1311944,22,higher,0,civil marriage,1,F,employee,0,1484.47,education
0,384569.9216,54,secondary,1,civil marriage,1,F,retiree,0,3369.86,private real estate development
1,-2924.598386,34,secondary,1,married,0,F,employee,1,2665.18,to buy your own car
0,-597.2734022,21,incomplete higher,2,civil marriage,1,F,companion,0,1086.94,commercial real estate transactions
1,,23,incomplete higher,2,civil marriage,1,F,companion,0,,money for the wedding
0,383772.1713,65,secondary,1,widower/widow,2,F,retiree,0,2230.8,cars
0,-145.5416175,32,higher,0,married,0,M,companion,0,2362.28,purchase of real estate
0,337679.3583,61,secondary,1,divorced,3,F,retiree,0,1378.14,commercial real estate transactions
2,-1024.94916,41,secondary,1,married,0,F,companion,0,1182.34,house purchase
0,-434.9313375,52,secondary,1,married,0,F,employee,0,1923.65,real estate construction
1,-2066.908426,30,secondary,1,married,0,F,civil servant,0,1659.43,higher education
1,-1588.831642,64,higher,0,civil marriage,1,F,employee,0,1780.31,housing
0,339193.0943,60,secondary,1,single,4,F,retiree,0,2380.33,house renovation
0,336747.8353,73,secondary,1,widower/widow,2,F,retiree,0,1711.21,dealing with a used car
1,-2049.211576,28,secondary,1,civil marriage,1,M,companion,1,2357.32,wedding
1,-144.1858538,41,SECONDARY,1,married,0,F,employee,1,1401.13,house buying for the family
0,-3803.807419,49,secondary,1,civil marriage,1,F,employee,0,932.71,wedding
1,-1475.69749,50,secondary,1,married,0,F,employee,0,1792.39,car purchase
0,-5865.315007,52,secondary,1,single,4,F,employee,0,1755.6,specialized education
0,-1031.907604,50,secondary,1,married,0,F,employee,0,1564.57,housing
0,395825.1325,59,secondary,1,married,0,F,retiree,0,1786.96,car purchase
2,-2585.402858,37,secondary,1,married,0,M,employee,0,2533.62,real estate purchase
0,-708.0735832,44,secondary,1,civil marriage,1,F,employee,0,2942.97,for weddings
0,-5267.841785,43,secondary,1,married,0,M,employee,0,5458.61,real estate transactions
0,-4973.641485,47,secondary,1,widower/widow,2,F,companion,0,1659.97,commercial real estate purchase
0,,47,secondary,1,married,0,M,employee,0,,private real estate development
0,,58,secondary,1,married,0,F,civil servant,0,,house purchase
0,-464.6341336,49,higher,0,civil marriage,1,M,companion,0,4796.79,wedding
0,-879.5873498,48,secondary,1,civil marriage,1,F,employee,0,1636.82,higher education
0,-1933.318994,50,Secondary,1,divorced,3,M,employee,0,2464.62,purchase of real estate
1,-1598.870214,40,secondary,1,married,0,F,companion,0,1979.38,real estate construction
1,,60,higher,0,married,0,F,retiree,1,,pursue higher education
0,-3132.180734,31,secondary,1,married,0,M,employee,0,3243.89,purchase of real estate
0,-1615.914814,29,higher,0,married,0,F,employee,0,2352.38,higher education
0,,54,higher,0,married,0,F,employee,0,,dealing with a used car
0,380628.3793,71,secondary,1,widower/widow,2,F,retiree,0,1735.96,commercial real estate purchase
1,-5793.741212,35,secondary,1,married,0,F,companion,0,2875.5,house purchase
0,357915.0363,63,secondary,1,widower/widow,2,F,retiree,0,1149.35,higher education
2,-940.6004541,44,HIGHER,0,married,0,F,companion,0,4089.08,housing
0,-6373.865376,45,secondary,1,married,0,M,employee,0,1498.49,house purchase
0,-1681.664549,52,secondary,1,married,0,F,employee,0,1036.41,further education
0,-874.8530628,49,higher,0,married,0,M,employee,0,2556.81,real estate transaction
1,-930.0835696,47,secondary,1,civil marriage,1,M,employee,0,1863.53,wedding
0,-1611.570503,29,higher,0,civil marriage,1,F,employee,0,2649.69,wedding
1,-1710.140334,29,secondary,1,civil marriage,1,F,companion,0,3581.67,house buying for the family
0,-2658.486083,51,secondary,1,married,0,F,companion,0,1798.92,real estate transaction
0,-1617.840355,44,secondary,1,married,0,F,employee,0,2107.33,real estate purchase
0,383664.7812,52,secondary,1,married,0,F,retiree,0,940.32,residential real estate construction
2,,40,secondary,1,divorced,3,F,employee,0,,real estate
2,-2888.551724,48,secondary,1,married,0,M,companion,0,2699.82,real estate construction
0,330174.4847,59,secondary,1,married,0,F,retiree,0,1167.39,real estate
0,333718.4911,68,Higher,0,married,0,F,retiree,0,2013.91,commercial real estate transactions
2,-2875.499548,29,higher,0,single,4,M,employee,0,3333.02,house purchase
2,-146.0006631,37,secondary,1,married,0,F,employee,1,1004.18,used car purchase
3,-1872.663186,0,secondary,1,married,0,F,employee,0,1277.08,house renovation
0,348537.5001,66,secondary,1,widower/widow,2,F,retiree,0,768.02,car
0,-5538.963731,35,elementary,3,civil marriage,1,M,employee,1,1547.68,education
0,396814.1841,57,secondary,1,single,4,F,retiree,0,1131.54,pursue higher education
2,-1945.376676,25,secondary,1,civil marriage,1,M,companion,0,4129.11,money for the wedding
0,-1481.276143,44,secondary,1,married,0,F,employee,0,598.39,commercial real estate purchase
0,-8631.590122,64,secondary,1,married,0,F,employee,0,2010.18,house renovation
1,-2725.970573,46,secondary,1,civil marriage,1,M,employee,0,1528.29,money for the wedding
1,,23,Secondary,1,civil marriage,1,F,employee,1,,car
0,,44,Secondary,1,civil marriage,1,F,employee,0,,property transactions
0,,66,secondary,1,married,0,F,retiree,0,,real estate transaction
1,-1912.652678,44,secondary,1,married,0,M,companion,0,2592.19,house renovation
2,-4016.445179,33,secondary,1,married,0,M,employee,0,2888.36,house purchase
0,384733.816,56,secondary,1,widower/widow,2,F,retiree,0,2030.2,to buy your own car
0,-9488.078234,63,higher,0,married,0,F,employee,0,1288.48,cars
0,-877.6474188,50,secondary,1,married,0,M,companion,1,1023.29,pursue higher education
0,-9854.773564,45,secondary,1,married,0,F,employee,0,1307.68,used car purchase
0,-1382.864823,47,secondary,1,married,0,M,employee,1,1788.03,house purchase
0,-1303.957795,28,secondary,1,married,0,F,employee,0,1076.47,private real estate development
1,-710.6809162,44,secondary,1,married,0,F,employee,0,1917.99,house renovation
0,-1006.240054,35,secondary,1,married,0,M,companion,0,2006.04,getting additional education
-1,-4417.703588,46,secondary,1,civil marriage,1,F,employee,0,1285.2,specialized education
0,-3675.617929,56,secondary,1,married,0,F,employee,0,1667.29,real estate
0,360701.1266,65,secondary,1,married,0,F,retiree,0,2112.62,real estate
4,-2220.384765,36,higher,0,civil marriage,1,F,employee,0,4187.81,wedding
0,-884.5458974,27,secondary,1,civil marriage,1,F,companion,0,1407.91,used car purchase
0,-741.1272799,43,HIGHER,0,married,0,F,employee,0,2541.54,Buying a house to rent
0,-471.7627962,45,secondary,1,married,0,F,employee,1,1792.29,real estate construction
1,-1082.798951,44,secondary,1,married,0,F,companion,0,1389.34,dealing with a used car
0,-1433.381776,28,higher,0,married,0,F,employee,0,2944.79,commercial real estate transactions
1,-359.1939749,33,SECONDARY,1,civil marriage,1,M,employee,0,2787.52,for weddings
0,-848.5856662,53,SECONDARY,1,married,0,M,employee,1,2179.95,real estate construction
2,-259.7371554,49,elementary,3,civil marriage,1,F,employee,0,2425.97,commercial real estate purchase
2,-1684.728463,25,secondary,1,single,4,F,civil servant,0,788.1,further education
0,367142.9474,66,secondary,1,married,0,F,retiree,0,1162.18,commercial real estate transactions
2,-7381.422129,36,secondary,1,divorced,3,F,employee,1,562.92,real estate
0,-801.5095055,61,secondary,1,married,0,F,companion,0,1728.11,residential real estate construction
0,-223.3644276,22,secondary,1,single,4,F,civil servant,0,1595.97,commercial real estate transactions
0,-916.323737,28,higher,0,married,0,M,civil servant,0,3263.89,house renovation
0,385603.0411,63,secondary,1,widower/widow,2,F,retiree,0,1275.02,real estate
0,-7813.942226,49,secondary,1,married,0,M,companion,0,1953.52,purchase of real estate
0,354218.7163,44,Secondary,1,married,0,F,retiree,0,593.22,pursue higher education
1,,33,secondary,1,civil marriage,1,M,employee,1,,Buying a house to rent
0,-519.3467721,35,secondary,1,married,0,M,companion,1,4068.01,further education
2,-672.7917695,39,secondary,1,married,0,M,employee,0,1392.32,real estate purchase
0,390154.5999,61,secondary,1,married,0,F,retiree,0,1824.73,education
0,-740.7219314,34,secondary,1,single,4,M,civil servant,0,2526.56,house buying for the family
0,,21,higher,0,single,4,M,employee,0,,motor vehicle deal
0,-3236.795575,35,higher,0,married,0,M,companion,0,3882.18,own car
0,-5484.416235,55,higher,0,married,0,F,employee,0,5292.78,residential real estate construction
0,,63,secondary,1,widower/widow,2,F,employee,0,,used car purchase
1,,34,higher,0,civil marriage,1,M,companion,0,,for weddings
0,,56,SECONDARY,1,civil marriage,1,F,retiree,1,,money for the wedding
0,-1419.81609,64,secondary,1,married,0,M,companion,0,2846.33,Buying a house to rent
0,-7694.849832,42,higher,0,married,0,M,civil servant,0,4008.76,commercial real estate transactions
0,-2277.897532,29,secondary,1,married,0,M,employee,0,1958.51,purchase of real estate
0,352404.9452,55,secondary,1,divorced,3,F,retiree,0,1158.42,real estate purchase
0,-2940.061414,27,elementary,3,married,0,M,employee,0,1849.87,commercial real estate purchase
0,,69,secondary,1,widower/widow,2,F,employee,0,,car purchase
0,-1020.512526,50,secondary,1,married,0,F,companion,0,3119.24,purchase of real estate
1,-1444.25075,42,Secondary,1,single,4,F,companion,0,2191.61,house purchase
0,-222.2813086,43,secondary,1,widower/widow,2,F,employee,0,1859.88,own car
0,-2568.19278,28,higher,0,married,0,F,employee,0,3631.44,higher education
0,-1193.595714,57,secondary,1,married,0,M,companion,0,2878.65,used car purchase
1,-4025.889116,32,secondary,1,single,4,F,employee,0,2760.19,own car
1,-342.2498821,26,SECONDARY,1,married,0,F,employee,1,2993.94,real estate transactions
0,-3707.557543,43,higher,0,married,0,M,employee,0,5213.15,real estate construction
1,-4271.528215,48,SECONDARY,1,married,0,F,companion,0,1645.55,cars
0,-1447.765059,30,higher,0,divorced,3,F,employee,1,4423.3,commercial real estate transactions
1,-1561.613127,32,secondary,1,married,0,F,employee,0,996.96,dealing with a used car
1,-291.457554,46,secondary,1,married,0,F,employee,0,684.96,commercial real estate purchase
2,-211.3321064,33,secondary,1,single,4,F,employee,0,1231.53,motor vehicle deal
0,-1821.341911,37,secondary,1,married,0,F,employee,0,1955.43,motor vehicle deal
0,-1139.744216,53,secondary,1,civil marriage,1,M,employee,0,2416.49,house purchase
0,-351.6338643,36,higher,0,single,4,F,employee,0,1733.64,commercial real estate transactions
0,-1459.403423,65,secondary,1,widower/widow,2,F,employee,0,1348.83,education
0,-2344.18299,27,secondary,1,married,0,M,employee,0,2026.83,pursue higher education
0,-1290.619005,28,higher,0,civil marriage,1,M,employee,0,2941.39,purchase of real estate
0,362344.2978,69,secondary,1,married,0,M,retiree,0,2118.44,real estate transaction
0,-1183.791399,57,secondary,1,civil marriage,1,M,employee,0,1434.09,for weddings
0,395899.352,64,secondary,1,widower/widow,2,F,retiree,0,1871.45,house buying for the family
1,-6799.624714,42,secondary,1,married,0,F,civil servant,0,3634.76,commercial real estate purchase
3,-2949.422637,35,secondary,1,married,0,M,companion,0,2406.61,car
2,-1017.178935,38,secondary,1,married,0,F,employee,0,1970.31,private real estate development
